FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23/02/2023;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02490-P1;;;;;9806;;;02552-P1
FECHA DE GENERACION:;;15/05/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AN14457;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.5%;;;;;;;;
CLIENTE:;;MARMAXX;;;;;;;;;ESTILO PROPIO 1:;;;;03250-P1;;;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;1.5%;;28/08/2021;;;;;;
ESTILO CLIENTE:;;AN13965;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;3.0%;;;;1.5%;;;;;;;;
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;1.5%;;;;;;2.0%;;;;;;
DIVISION:;;MISSY;;;;;;;;;TALLAS:;;;;XS-S-M-L-XL;;;;;;;;;;LARG.DE MANGA;;;;3.0%;;;;;;;;;;;;
TIPO MUESTRA:;;PRODUCCION PROGRAM A63;;;;;;;;;MEDIDA :;;;;PULGADA;;;;;LEANDRO;;;;;;;;;;;;;9/07/2022;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0%;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0%;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0%;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBRO;;;;  1/8 ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  1/8 ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON Y MANGA;;;;  1/4 ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;26  3/4 ;;27  1/4 ;;27  3/4 ;;28  1/4 ;;28  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;29  5/8 ;;30  5/8 ;;31  5/8 ;;32  5/8 ;;34  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;28  3/8 ;;29  3/8 ;;30  3/8 ;;31  3/8 ;;32 13/16;;;;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;29  1/4 ;;30  1/4 ;;31  1/4 ;;32  1/4 ;;33  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;5 13/16;;6  1/4 ;;6  3/4 ;;7  1/4 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;9  1/8 ;;9  3/8 ;;9  5/8 ;;9  7/8 ;;10  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  1/8 ;;3  1/4 ;;3  3/8 ;;3  1/2 ;;3  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;27      ;;27  1/2 ;;28      ;;28  1/2 ;;29      ;;;;;;;;;;;;;;;;;;;;;;;;;;
I;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;5  3/16;;5  5/16;;5  7/16;;5  5/8 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA (DIAGONAL);;P;CRITICA;  3/8 ;  3/8 ;15  1/4 ;;15  3/4 ;;16  1/4 ;;16  3/4 ;;17  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;;;6  3/8 ;;6 13/16;;7  1/4 ;;7 13/16;;8  5/16;;;;;;;;;;;;;;;;;;;;;;;;;;
L;ANCHO DE PECHO ESPALDA (MITAD);;P;CRITICA;  3/8 ;  3/8 ;15  1/4 ;;15  3/4 ;;16  1/4 ;;16  3/4 ;;17  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE FALDON ESPALDA (MITAD);;P;CRITICA;;;14  1/2 ;;15  1/8 ;;15  1/2 ;;16  1/16;;16  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
N;ALTO DE VENTZ DELANTERO ESPALDA;;P;CRITICA;;;8  1/2 ;;8  1/2 ;;8  1/2 ;;8  1/2 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;
O;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;17  1/8 ;;17  3/8 ;;17  5/8 ;;17  7/8 ;;18  1/8 ;;;;;;;;;;;;;;;;17  3/8 ;;17  1/2 ;;17  5/8 ;;17  3/4 ;;17  7/8 ;;
P;ANCHO DE MANGA BICEP;;P;CRITICA;  3/8 ;  3/8 ;12      ;;13      ;;14      ;;14  5/8 ;;15  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;7  5/8 ;;8  1/4 ;;8  3/4 ;;9  1/4 ;;9  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE COLLARETA CUELLO (DISP);;C;CRITICA;;;27  3/16;;27 15/16;;28  3/4 ;;29  7/16;;30  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE COLLARETA CUELLO (DISP);;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
T;LARGO DE TAPETE CUELLO;;C;CRITICA;;;14  7/8 ;;15  1/4 ;;15  5/8 ;;16      ;;16  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
U;ALTO DE TAPETE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;; ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
